Results,EUR/USD Close,USD/JPY Close,USD/CAD Close,EUR/JPY Close
Average,  1.186,109.263,  1.237,127.296
Minimum,   1.039,  86.700,   0.984,   0.000
Maximum,   1.393, 125.637,   1.455, 149.215
Std,   0.100,   7.494,   0.115,  17.066
# In Calc, 1826, 1826, 1826, 1826

Date,EUR/USD Close,USD/JPY Close,USD/CAD Close,EUR/JPY Close
2013-01-01,1.3219,86.7,0.9934,114.47
2013-01-02,1.3177,87.203,0.9857,114.92
2013-01-03,1.305,87.25,0.9878,113.884
2013-01-04,1.308,88.12,0.9869,115.26
2013-01-07,1.3106,87.77,0.986,115.071
2013-01-08,1.3083,87.173,0.9868,114.059
2013-01-09,1.3064,87.77,0.9874,114.68
2013-01-10,1.3254,88.56,0.9839,117.38
2013-01-11,1.3334,89.198,0.9843,118.94
2013-01-14,1.3387,89.4,0.9835,119.68
2013-01-15,1.3311,88.87,0.9841,118.3
2013-01-16,1.3282,88.35,0.9859,117.4
2013-01-17,1.3374,89.95,0.9852,120.3
2013-01-18,1.3318,90.08,0.9922,119.98
2013-01-21,1.3317,89.74,0.9929,119.495
2013-01-22,1.3313,88.7,0.9926,118.09
2013-01-23,1.3315,88.68,0.9991,118.129
2013-01-24,1.3375,90.13,1.0027,120.6
2013-01-25,1.3458,90.9,1.0063,122.389
2013-01-28,1.3454,90.753,1.0063,122.107
2013-01-29,1.3491,90.74,1.0022,122.46
2013-01-30,1.3566,91.129,1.0014,123.643
2013-01-31,1.3577,91.49,0.9975,124.217
2013-02-01,1.3651,92.8,0.9973,126.7
2013-02-04,1.3511,92.27,0.9983,124.685
2013-02-05,1.3584,93.535,0.9962,127.08
2013-02-06,1.3522,93.542,0.9953,126.488
2013-02-07,1.3396,93.58,0.9982,125.36
2013-02-08,1.3363,92.71,1.0027,123.95
2013-02-11,1.3398,93.92,1.0041,125.839
2013-02-12,1.3447,93.585,1.0027,125.84
2013-02-13,1.345,93.46,1.002,125.702
2013-02-14,1.3354,92.91,1.0008,124.082
2013-02-15,1.3362,93.472,1.0061,124.912
2013-02-18,1.3349,93.938,1.0109,125.407
2013-02-19,1.339,93.53,1.0117,125.21
2013-02-20,1.3283,93.735,1.0173,124.512
2013-02-21,1.3182,93.202,1.0185,122.871
2013-02-22,1.3184,93.41,1.0207,123.14
2013-02-25,1.3089,91.265,1.0256,119.448
2013-02-26,1.3054,92.06,1.0261,120.179
2013-02-27,1.3136,92.229,1.023,121.14
2013-02-28,1.3064,92.66,1.0305,121.05
2013-03-01,1.3024,93.53,1.027,121.84
2013-03-04,1.3017,93.434,1.0278,121.626
2013-03-05,1.3039,93.274,1.0274,121.65
2013-03-06,1.2991,94.05,1.0315,122.188
2013-03-07,1.3106,94.825,1.0288,124.29
2013-03-08,1.2997,96.081,1.0295,124.876
2013-03-11,1.3031,96.27,1.027,125.505
2013-03-12,1.3034,96.05,1.0261,125.2
2013-03-13,1.296,96.05,1.0272,124.5
2013-03-14,1.3005,96.107,1.0222,124.984
2013-03-15,1.3059,95.363,1.019,124.532
2013-03-18,1.2934,95.19,1.0223,123.1
2013-03-19,1.2888,94.99,1.0272,122.425
2013-03-20,1.294,96.04,1.0251,124.33
2013-03-21,1.2904,94.898,1.024,122.474
2013-03-22,1.2981,94.43,1.0232,122.64
2013-03-25,1.2857,94.082,1.0212,120.97
2013-03-26,1.2858,94.55,1.0166,121.595
2013-03-27,1.277,94.425,1.0163,120.569
2013-03-28,1.2817,94.08,1.0158,120.62
